"PLEASE do not sort this page, it will break the scripts (But manually add stuff where appropriate)",,,,Can be completed with v1.2.x data. Leave the class columns empty.
Class (Reference only) added to help with organizing efforts. Be nice and add them as you go.
,Game,,Server,Changed,,Client Duplicates
class (for reference only),Reference,class (for reference only),Reference,Name,Notes,188
a (PathPoint),func_1179_a,,func_730_a,isAssigned,Returns true if this point has already been assigned to a path,,[1]
a (PathPoint),func_1180_a,,func_731_a,distanceTo,Returns the linear distance to another path point
an (SlotCrafting),func_4105_a,,*,isItemValid,Check if the stack is a valid item for this slot. Always true beside for the armor slots.
ar (CraftingInventoryCB),func_1103_a,,*,onCraftMatrixChanged,Callback for when the crafting matrix is changed.
ar (CraftingInventoryCB),func_1104_a,,*,onCraftGuiClosed,Callback for when the crafting gui is closed.
av (ItemBlock),func_192_a,,func_78_a,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
aw (IChunkProvider),func_534_a,,func_4055_a,populate,Populates chunk with ores etc etc
az (SpawnerAnimals),func_1149_a,,func_441_a,createRandomSpawn,Spawn one random creature (possibly a Skeleton on a Spider) at a random location.
az (SpawnerAnimals),func_4154_a,,func_442_a,spawnCreatures,Spawn three random creatures of types in the subclass array.,DUPLICATE,DUPLICATE
az (SpawnerAnimals),func_4153_a,,func_440_a,getRandomPosition,Generate a random location in the specified chunk.,DUPLICATE,DUPLICATE
b (BlockChest),func_286_h,,func_297_g,isThereANeighborChest,"Checks the neighbor blocks to see if there is a chest there. Args: world, x, y, z"
bd (TileEntityMobSpawner),func_475_b,,func_184_b,updateEntity,"Allows the entity to update its state. Overridden in most subclasses, e.g. the mob spawner uses this to count ticks and creates a new spawn inside its implementation."
bd (TileEntityMobSpawner),func_481_b,,func_188_b,writeToNBT,Writes a tile entity to NBT.
bd (TileEntityMobSpawner),func_482_a,,func_186_a,readFromNBT,Reads a tile entity from NBT.
bd (TileEntityMobSpawner),func_483_c,,func_196_d,updateDelay,Sets the delay before a new spawn (base delay of 200 + random number up to 600).
be (OpenGlCapsChecker),func_1213_a,,*,checkARBOcclusion,Checks if we support OpenGL occlusion.
bf (ThreadDownloadResources),func_1208_b,,*,closeMinecraft,Called when Minecraft is closing down.
bf (ThreadDownloadResources),func_1209_a,,*,loadResource,Loads a resource and passes it to Minecraft to install.
bf (ThreadDownloadResources),func_1210_a,,*,reloadResources,Reloads the resource folder and passes the resources to Minecraft to install.
bf (ThreadDownloadResources),func_1211_a,,*,downloadAndInstallResource,Downloads the resource and saves it to disk then installs it.
bf (ThreadDownloadResources),func_1212_a,,*,downloadResource,Downloads the resource and saves it to disk.
bh (GuiScreen),func_6447_a,,*,validate,Causes the screen to lay out its subcomponents again. This is the equivalent of the Java call Container.validate().,DUPLICATE,DUPLICATE
bh (GuiScreen),func_564_d,,*,handleInput,Delegates mouse and keyboard input.
bh (GuiScreen),func_565_a,,*,mouseClicked,Called when the mouse is clicked.
bh (GuiScreen),func_566_e,,*,handleMouseInput,Handles mouse input.
bh (GuiScreen),func_568_a,,*,deleteWorld,Deletes the selected world.
bh (GuiScreen),func_569_f,,*,handleKeyboardInput,Handles keyboard input.
bh (GuiScreen),func_570_g,,*,updateScreen,Called from the main game loop to update the screen.
bh (GuiScreen),func_571_a,,*,drawScreen,Draws the screen and all the components in it.
bh (GuiScreen),func_572_a,,*,actionPerformed,Fired when a control is clicked. This is the equivalent of ActionListener.actionPerformed(ActionEvent e).
bh (GuiScreen),func_573_b,,*,mouseMoved,Called when the mouse is moved.,DUPLICATE,DUPLICATE
bh (GuiScreen),func_574_c,,*,getClipboardString,Returns a string stored in the system clipboard.
bh (GuiScreen),func_6448_a,,*,initGui,"Initialises the GUI screen, adding and layout out the components.",DUPLICATE,DUPLICATE
bh (GuiScreen),func_6449_h,,*,dispose,Called when the screen is unloaded. Used to disable keyboard repeat events.,DUPLICATE,DUPLICATE
bh (GuiScreen),func_580_a,,*,keyTyped,Fired when a key is typed. This is the equivalent of KeyListener.keyTyped(KeyEvent e).
bl (PathEntity),func_1205_a,,func_727_a,getPosition,Gets the position that an entity should be at in the current point in the path
bl (PathEntity),func_1206_a,,func_728_a,incrementPathIndex,Directs this path to the next point in its array
bl (PathEntity),func_1207_b,,func_729_b,isFinished,Returns true if this path has reached the end
bn (WorldRenderer),func_1194_f,,*,MarkDirty,Marks the current renderer data as dirty and needing to be updated
bs (ItemTool),func_4017_a,,*,isFull3D,Returns True is the item is renderer in full 3D when hold.
bs (ItemTool),func_4020_a,,*,getDamageVsEntity,Returns the damage against a given entity.
bs (ItemTool),func_4021_a,,*,hitEntity,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.
bs (ItemTool),func_203_a,,func_75_a,hitBlock,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.
bs (ItemTool),func_204_a,,func_79_a,getStrVsBlock,"Returns the strength of the stack against a given block. 1.0F base, (Quality+1)*2 if correct blocktype, 1.5F if sword"
bv (CraftingRecipe),func_1182_a,,*,matchRecipe,Returns true if the passed in array of item ids matches the recipe
bv (CraftingRecipe),func_1183_b,,*,createResult,Returns a new item stack that this recipe makes
bv (CraftingRecipe),func_1184_a,,*,getRecipeSize,Returns the size of the recipe area
bv (CraftingRecipe),func_1185_a,,*,matches,Returns true if a specific recipe location matches
cf (AxisAlignedBB),func_1160_c,dg (AxisAlignedBB),func_711_b,copy,Returns a copy of the bounding box.
cf (AxisAlignedBB),func_1161_b,dg (AxisAlignedBB),func_693_b,getBoundingBoxFromPool,"Returns a bounding box with the specified bounds from the pool.  Args: minX, minY, minZ, maxX, maxY, maxZ"
cf (AxisAlignedBB),func_1164_b,,*,getAverageEdgeLength,Returns the average length of the edges of the bounding box.
cf (AxisAlignedBB),func_1165_c,dg (AxisAlignedBB),func_695_c,setBounds,"Sets the bounds of the bounding box. Args: minX, minY, minZ, maxX, maxY, maxZ"
cf (AxisAlignedBB),func_1168_a,dg (AxisAlignedBB),func_698_a,getBoundingBox,"Returns a bounding box with the specified bounds. Args: minX, minY, minZ, maxX, maxY, maxZ"
cf (AxisAlignedBB),func_1170_a,dg (AxisAlignedBB),func_700_a,addCoord,"Adds the coordinates to the bounding box extending it if the point lies outside the current ranges. Args: x, y, z"
cf (AxisAlignedBB),func_1174_d,dg (AxisAlignedBB),func_702_d,offset,"Offsets the current bounding box by the specified coordinates. Args: x, y, z"
cf (AxisAlignedBB),func_1177_b,dg (AxisAlignedBB),func_708_b,expands,"Returns a bounding box expanded by the specified vector (if negative numbers are given it will shrink). Args: x, y, z"
cf (AxisAlignedBB),func_1178_a,dg (AxisAlignedBB),func_704_a,intersectsWith,Returns whether the given bounding box intersects with this one. Args: axisAlignedBB
cf (AxisAlignedBB),func_1166_c,dg (AxisAlignedBB),func_696_c,getOffsetBoundingBox,"Returns a bounding box offseted by the specified vector (if negative numbers are given it will shrink). Args: x, y, z"
cf (AxisAlignedBB),func_1171_b,dg (AxisAlignedBB),func_699_b,setBB,Sets the bounding box to the same bounds as the bounding box passed in. Args: axisAlignedBB
cf (AxisAlignedBB),func_1167_a,dg (AxisAlignedBB),func_697_a,isVecInYZ,Checks if the specified vector is within the YZ dimensions of the bounding box. Args: Vec3D
cf (AxisAlignedBB),func_1175_b,dg (AxisAlignedBB),func_705_b,isVecInXZ,Checks if the specified vector is within the XZ dimensions of the bounding box. Args: Vec3D
cf (AxisAlignedBB),func_1176_c,dg (AxisAlignedBB),func_707_c,isVecInXY,Checks if the specified vector is within the XY dimensions of the bounding box. Args: Vec3D
cf (AxisAlignedBB),func_4150_a,,*,isVecInside,Checks if the specified vector is within bounds of the bounding box. Args: vec3D
cf (AxisAlignedBB),func_4149_a,dg (AxisAlignedBB),func_703_a,clearBoundingBoxPool,Sets the number of bounding boxes in use from the pool to 0 so they will be reused
cn (World),func_598_c,dy (World),func_455_j,getLightBrightness,"Returns how bright the block is shown as which is the block's light value looked up in a lookup table (light values aren't linear for brihgtness). Args: x, y, z"
cn (World),func_601_g,dy (World),func_445_d,doesBlockAllowAttachment,"Returns if the block at the specified coordinates allow attachment Args: x, y, z"
cn (World),func_609_a,dy (World),func_472_a,getClosestPlayerToEntity,"Gets the closest player to the entity within the specified distance (if distance is less than 0 then ignored). Args: entity, dist"
cn (World),func_611_g,dy (World),func_449_g,notifyBlocksOfNeighborChange,"Notifies neighboring blocks that this specified block changed  Args: x, y, z, blockID"
cn (World),func_615_b,,*,deleteWorld,Deletes the specified world.
cn (World),func_617_e,dy (World),func_454_e,notifyBlockChange,"The block type change and need to notify other systems  Args: x, y, z, blockID"
cn (World),func_618_j,dy (World),func_495_h,getBlockLightValue,Gets the light value of a block location
cn (World),func_620_h,dy (World),func_447_g,chunkExists,"Returns whether a chunk exists at chunk coordinates x, y"
cn (World),func_621_b,dy (World),func_487_a,countEntities,Counts how many entities of an entity class exist in the world. Args: entityClass
cn (World),func_623_a,dy (World),func_506_a,playSoundAtEntity,"Plays a sound at the entity's position. Args: entity, sound, unknown1, unknown2"
cn (World),func_624_b,dy (World),func_453_a,isDaytime,Checks whether its daytime by seeing if the light subtracted from the skylight is less than 4
cn (World),func_625_o,dy (World),func_474_n,isBlockIndirectlyGettingPowered,"Used to see if one of the blocks next to you or your block is getting power from a neighboring block. Used by items like TNT or Doors so they don't have redstone going straight into them.  Args: x, y, z"
cn (World),func_634_a,dy (World),func_462_a,setBlock,"Sets the block to the specified blockID at the block coordinates Args x, y, z, blockID"
cn (World),func_635_c,dy (World),func_463_c,setBlockMetadata,Set the metadata of a block in global coordinates
cn (World),func_640_a,dy (World),func_466_a,checkChunksExist,"Checks between a min and max all the chunks inbetween actually exist. Args: minX, minY, minZ, maxX, maxY, maxZ"
cn (World),func_641_a,dy (World),func_512_a,getSavedLightValue,Returns saved light value without taking into account the time of day.  Either looks in the sky light map or block light map based on the enumSkyBlock arg.
cn (World),func_644_f,dy (World),func_465_d,calculateInitialSkylight,Called on construction of the World class to setup the initial skylight values
cn (World),func_646_n,dy (World),func_496_m,isBlockGettingPowered,"Whether one of the neighboring blocks is putting power into this block. Args: x, y, z"
cn (World),func_647_i,dy (World),func_497_g,canBlockSeeTheSky,Checks if the specified block is able to see the sky
cn (World),func_648_a,,*,setWorldTime,Sets the world time.
cn (World),func_649_g,dy (World),func_4071_f,tick,Runs a single tick for the world
cn (World),func_653_a,,*,deleteFiles,Recursively deletes files from a folder.
cn (World),func_655_l,dy (World),func_527_k,notifyBlockOfNeighborChange,"Notifies a block that one of its neighbor change to the specified type Args: x, y, z, blockID"
cn (World),func_657_a,dy (World),func_457_a,getEntitiesWithinAABB,"Returns all entities of the specified class type which intersect with the AABB. Args: entityClass, aabb"
cn (World),func_659_b,dy (World),func_450_b,getEntitiesWithinAABBExcludingEntity,"Will get all entities within the specified AABB excluding the one passed into it. Args: entityToExclude, aabb"
cn (World),func_662_b,dy (World),func_469_b,getIsAnyLiquid,Returns if any of the blocks within the aabb are liquids. Args: aabb
cn (World),func_664_b,dy (World),func_529_b,setLightValue,"Sets the light value either into the sky map or block map depending on if enumSkyBlock is set to sky or block. Args: enumSkyBlock, x, y, z, lightValue"
cn (World),func_666_c,dy (World),func_488_c,getHeightValue,"Returns the y coordinate with a block in it at this x, z coordinate"
cn (World),func_668_j,dy (World),func_448_i,isBlockProvidingPowerTo,"Is this block powering in the specified direction Args: x, y, z, direction"
cn (World),func_670_a,dy (World),func_491_a,playRecord,"Plays a record at the specified coordinates of the specified name. Args: recordName, x, y, z"
cn (World),func_671_a,dy (World),func_493_a,calculateSkylightSubtracted,Returns the amount of skylight subtracted for the current time
cn (World),func_673_a,dy (World),func_492_a,getChunkFromBlockCoords,"Returns a chunk looked up by block coordinates. Args: x, y"
cn (World),func_674_a,dy (World),func_526_a,entityJoinedWorld,Called when an entity is spawned in the world. This includes players.
cn (World),func_676_a,dy (World),func_468_a,createExplosion,"Creates an explosion at the position with the specified force. Args: entity, x, y, z, force"
cn (World),func_677_m,,*,randomDisplayUpdates,"Randomly will call the random display update on a 1000 blocks within 16 units of the specified position. Args: x, y, z"
cn (World),func_681_h,dy (World),func_499_h,scheduleBlockUpdate,"Schedules a specific block to be to ticked by its specified delay. Args: x, y, z, blockID"
cn (World),func_683_a,dy (World),func_456_a,getClosestPlayer,"Gets the closest player to the point within the specified distance (distance can be set to less than 0 to not limit the distance). Args: x, y, z, dist"
cn (World),func_684_a,dy (World),func_502_a,playSoundEffect,"Play a sound effect. Many many parameters for this function. Not sure what they do, but a classic call is : (double)i + 0.5D, (double)j + 0.5D, (double)k + 0.5D, ""random.door_open"", 1.0F, world.rand.nextFloat() * 0.1F + 0.9F with i,j,k position of the block."
cn (World),func_690_d,dy (World),func_508_d,setBlockWithNotify,"Sets a block and notifies relevant systems with the block change  Args: x, y, z, blockID"
cn (World),func_691_b,dy (World),func_511_b,setBlockMetadataWithNotify,"Sets the blocks metadata and if set will then notify blocks that this block changed. Args: x, y, z, metadata"
cn (World),func_694_a,dy (World),func_514_a,spawnParticle,"Spawns a particle.  Args particleName, x, y, z, velX, velY, velZ"
cn (World),func_697_a,dy (World),func_481_a,getCollidingBoundingBoxes,"Returns a list of bounding boxes that collide with aabb excluding the passed in entity's collision. Args: entity, aabb"
cn (World),func_699_a,dy (World),func_517_a,getBlockLightValue,"Gets the light value of a block location. This is the actual function that gets the value and has a bool flag that indicates if its a half step block to get the maximum light value of a direct neighboring block (left, right, forward, back, and up)"
cn (World),func_700_a,dy (World),func_518_a,TickUpdates,Runs through the list of updates to run and ticks them
cn (World),func_704_b,dy (World),func_525_b,getChunkFromChunkCoords,"Returns back a chunk looked up by chunk coordinates Args: x, y"
cn (World),func_706_k,dy (World),func_489_j,isBlockIndirectlyProvidingPowerTo,"Is a block next to you getting powered (if its an attachable block) or is it providing power directly to you.  Args: x, y, z, direction"
cn (World),func_708_k,dy (World),func_517_a,canBlockSeeTheSky,Determines if a block can see the sky or not.  Validates it is a legitimate address for a chunk that exists then calls the corresponding function on the chunk,,DUPLICATE
cn (World),func_4078_a,dy (World),func_4069_a,neighborLightPropagationChanged,"Called when a neighboring block's light value has changed and its propagated light might change this blocks value.  Args: enumSkyBlock, x, y, z, propagatedLight"
cv (BlockJukeBox),func_317_e,eh (BlockJukeBox),func_286_f,ejectRecord,Ejects the current record inside of the jukebox
cx (GuiMainMenu),func_4068_a,,*,drawLogo,Draws the imploding minecraft logo.
cx (GuiMainMenu),func_592_j,,*,getRand,Returns the random number generator.
cz (Pathfinder),func_1129_a,,func_656_a,addToPath,"Adds a path from start to end and returns the whole path (args: unused, start, end, unused, maxDistance)"
cz (Pathfinder),func_1130_a,,func_652_a,createEntityPathTo,Internal implementation of creating a path from an entity to a point
cz (Pathfinder),func_1131_a,,func_651_a,createEntityPathTo,Creates a path from an entity to a specified location within a minimum distance
cz (Pathfinder),func_1132_a,,func_649_a,getVerticalOffset,"Given an x y z, returns a vertical offset needed to search to find a block to stand on"
cz (Pathfinder),func_1133_b,,func_654_b,findPathOptions,"populates pathOptions with available points and returns the number of options found (args: unused1, currentPoint, unused2, targetPoint, maxDistance)"
cz (Pathfinder),func_1134_a,,func_653_a,createEntityPath,Returns a new PathEntity for a given start and end point
cz (Pathfinder),func_1135_a,,func_650_a,getSafePoint,Returns a point that the entity can safely move to
cz (Pathfinder),func_1136_a,,func_655_a,openPoint,Returns a mapped point or creates and adds one
cz (Pathfinder),func_1137_a,,func_657_a,createEntityPathTo,Creates a path from one entity to another within a minimum distance
df (GLAllocation),func_1123_d,*,*,getDirectFloatBuffer,Returns a direct float buffer with the specified capacity. Applies native ordering to speed up access.,DUPLICATE,DUPLICATE
df (GLAllocation),func_1124_a,*,*,generateDisplayLists,Generates the specified number of display lists and returns the first index.
df (GLAllocation),func_1125_c,*,*,getDirectIntBuffer,Returns a direct int buffer with the specified capacity. Applies native ordering to speed up access.,DUPLICATE,DUPLICATE
df (GLAllocation),func_1126_a,*,*,deleteTexturesAndDisplayLists,Deletes all textures and display lists. Called when Minecraft is shutdown to free up resources.
df (GLAllocation),func_1127_b,*,*,getDirectByteBuffer,Returns a direct byte buffer with the specified capacity. Applies native ordering to speed up access.,DUPLICATE,DUPLICATE
df (GLAllocation),func_1128_a,*,*,generateTextureNames,Generates texture names and stores them in the specified buffer.
dh (BlockSand),func_315_h,,func_284_h,tryToFall,If there is space to fall below will start this block falling
dh (BlockSand),func_316_a_,,func_285_g,canFallBelow,Checks to see if the sand can fall into the block below it
di (Item),func_193_a,,func_6152_a,onItemRightClick,"Called whenever this item is equipped and the right mouse button is pressed. Args: itemStack, world, entityPlayer"
di (Item),func_4018_a,,func_80_a,canHarvestBlock,Returns if the item (tool) can harvest results from the block type.
di (Item),func_196_a,,*,getIconIndex,Returns the icon index of the stack given as argument.
di (Item),func_197_c,,func_77_b,getMaxDamage,Returns the maximum damage an item can take.
di (Item),func_4016_e,,func_4050_c,setFull3D,Sets bFull3D to True and return the object.
di (Item),func_200_b,,func_81_a,getItemStackLimit,Returns the maximum size of the stack for a specific item. *Isn't this more a Set than a Get?*
di (Item),func_201_b,,*,useItemOnEntity,Uses the given item on the entity.
di (Item),func_4022_a,,func_4049_a,setIconIndex,Sets the icon index for this item. Returns the item.
dk (Slot),func_776_b,,*,putStack,Helper fnct to put a stack in the slot.
dk (Slot),func_777_b,,*,getStack,Helper fnct to get the stack in the slot.
dm (EntityPlayer),func_450_a,,func_165_a,getCurrentPlayerStrVsBlock,Returns how strong the player is against the specified block at this moment
dw (CraftingManager),func_1119_a,,*,craft,Given an array of item ids it produces the crafting result of a matching recipe if found
dw (CraftingManager),func_1120_a,,*,getInstance,Returns the static instance of this class
dw (CraftingManager),func_1121_a,*,*,addRecipe,Adds a recipe. See spreadsheet on first page for details.
dy (NBTTagByteArray),func_733_a,,func_379_a,getType,Gets the type byte for the tag.
dy (NBTTagByteArray),func_735_a,,func_381_a,writeTag,Writes the tag to the given DataOutput.,DUPLICATE,DUPLICATE
dy (NBTTagByteArray),func_736_a,,func_382_a,readTag,Reads the tag from the given DataInput.,DUPLICATE,DUPLICATE
eb (SoundPool),func_1117_a,,*,addSound,Adds a sound to this sound pool.
ee (GuiContainer),func_588_a,,*,getSlotAtPosition,Returns the slot at the given coordinates or null if there is none.
el (NBTBase),func_731_b,,func_377_b,getTagName,"Returns the string name of a tag with the specified type, or ""UNKNOWN"" if invalid."
el (NBTBase),func_732_a,,func_385_m,setKey,Sets the key for this tag and returns this for convenience.
el (NBTBase),func_734_b,,func_383_b,readTag,"Reads and returns a tag from the given DataInput, or the End tag if no tag could be read."
el (NBTBase),func_737_b,,func_384_c,getKey,"Gets the key corresponding to the tag, or an empty string if none set."
el (NBTBase),func_738_a,,func_380_a,writeTag,"Writes the specified tag to the given DataOutput, writing the type byte, the UTF string key and then calling the tag to write its data."
el (NBTBase),func_739_a,,func_378_a,createTagOfType,"Creates and returns a new tag of the specified type, or null if invalid."
eo (MathHelper),func_1106_a,,func_585_a,sin,sin looked up in a table
eo (MathHelper),func_1114_b,,func_582_b,cos,cos looked up in the sin table with the appropriate offset
eo (MathHelper),func_1107_a,,func_581_a,abs_max,Maximum of the absolute value of two numbers.
eo (MathHelper),func_1109_a,,func_583_a,sqrt_double
eo (MathHelper),func_1110_d,,func_588_d,convertToBlockCoord,Takes a float and converts it into a block coordinate taking into account integer conversion rounds to zero below zero.,,DUPLICATE
eo (MathHelper),func_1108_b,,func_584_b,convertToBlockCoord,Takes a double and converts it into a block coordinate taking into account integer conversion rounds to zero below zero.,,DUPLICATE
eo (MathHelper),func_1111_a,,*,bucketInt,"Buckets an integer with specifed bucket sizes.  Args: i, bucketSize"
eo (MathHelper),func_1112_e,,func_587_e,abs
eo (MathHelper),func_1113_c,,func_586_c,sqrt_float
eu (InventoryPlayer),func_468_c,,func_82_a,getStackInSlot,Returns the stack in slot i
eu (InventoryPlayer),func_469_c,,*,getSizeInventory,Returns the number of slots in the inventory.
eu (InventoryPlayer),func_470_e,,func_202_d,getInventoryStackLimit,"Returns the maximum stack size for a inventory slot. Seems to always be 64, possibly will be extended. *Isn't this more of a set than a get?*"
eu (InventoryPlayer),func_471_d,,*,getInvName,Returns the name of the inventory.
eu (InventoryPlayer),func_472_a,,func_206_a,setInventorySlotContents,Sets the given item stack to the specified slot in the inventory (can be crafting or armor sections).
eu (InventoryPlayer),func_473_a,,*,decrStackSize,Decrease the size of the stack in slot (first int arg) by the amount of the second int arg. Returns the new stack.
eu (InventoryPlayer),func_493_a,,func_200_a,writeToNBT,"Writes the inventory out as a list of compound tags. This is where the slot indices are used (+100 for armor, +80 for crafting)."
eu (InventoryPlayer),func_494_a,,func_213_b,getCurrentItem,Returns the item stack currently held by the player.
eu (InventoryPlayer),func_495_b,,func_209_a,addItemsToInventory,Adds the j items of type i to inventory and returns the number of items that couldn't fit (0 if they all fit).
eu (InventoryPlayer),func_497_g,,func_204_c,getFirstPartialMatchingStack,Returns the first item stack in inventory that matches the given item stack and isn't full.
eu (InventoryPlayer),func_499_j,,func_205_g,getFirstEmptyStack,Returns the first item stack that is empty.
Render,func_146_a,*,*,renderOffsetAABB,Renders a white box with the bounds of the AABB translated by the offset. Args: aabb,x,DUPLICATE,z
InventoryPlayer,func_496_a,*,*,setCurrentItem,Sets a specific itemID as the current item being held (only if it exists on the hotbar),,DUPLICATE
Render,func_142_a,*,*,renderAABB,Adds to the tesselator a box using the aabb for the bounds. Args: aabb,,DUPLICATE
Render,func_149_b,*,*,getWorldFromRenderManager,Returns the render manager's world object,,DUPLICATE
GLAllocation,func_1125_c,*,*,createDirectIntBuffer,Creates and returns a direct int buffer with the specified capacity. Applies native ordering to speed up access.,,DUPLICATE
GLAllocation,func_1127_b,*,*,createDirectByteBuffer,Creates and returns a direct byte buffer with the specified capacity. Applies native ordering to speed up access.,,DUPLICATE
GLAllocation,func_1123_d,*,*,createDirectFloatBuffer,Creates and returns a direct float buffer with the specified capacity. Applies native ordering to speed up access.,,DUPLICATE
Chunk,func_1012_a,*,*,needsSaving,Returns true if this Chunk needs to be saved,,DUPLICATE
Chunk,func_1017_a,*,*,isAtLocation,Checks whether the chunk is at the X/Z location specified,,DUPLICATE
ItemFishingRod,func_4023_b,*,*,shouldRotateAroundWhenRendering,Returns true if this item should be rotated by 180 degrees around the Y axis when being held in an entities hands.,,DUPLICATE
EntityLiving,func_431_d,*,*,getSwingProgress,Returns where in the swing animation the living entity is (from 0 to 1).  Args: partialTickTime,,DUPLICATE
EntitySpider,func_438_i,*,*,findPlayerToAttack,Finds the closest player within 16 blocks to attack,or null if this Entity isn't interested in attacking (Animals,DUPLICATE,peaceful PigZombies).
InventoryPlayer,func_505_f,*,*,getInventorySlotContainItem,Returns a slot index in main inventory containing a specific itemID,,DUPLICATE
InventoryPlayer,func_502_a,*,*,getDamageVsEntity,Return damage vs an entity done by the current held weapon,or 1 if nothing is held,DUPLICATE
World,func_643_a,*,*,setBlockAndMetadata,Sets the block ID and metadata of a block in global coordinates,,DUPLICATE
RenderEngine,func_6526_a,*,*,readTextureImage,Returns a BufferedImage read off the provided input stream.  Args: inputStream,,DUPLICATE
RenderEngine,func_1069_b,*,*,unwrapImageByColumns,Takes an image with multiple 16-pixel-wide columns and creates a new 16-pixel-wide image where the columns are stacked vertically,,DUPLICATE
RenderEngine,func_1068_a,*,*,setupTexture,Copy the supplied image onto the specified OpenGL texture,,DUPLICATE
RenderEngine,func_1065_b,*,*,refreshTextures,Call setupTexture on all currently-loaded textures again to account for changes in rendering options,,DUPLICATE
InventoryPlayer,func_510_b,*,*,consumeInventoryItem,removed one item of specified itemID from inventory (if it is in a stack,the stack size will reduce with 1),DUPLICATE
InventoryPlayer,func_513_b,*,*,readFromNBT,Reads from the given tag list and fills the slots in the inventory with the correct items.,,DUPLICATE
Chunk,func_995_d,*,*,onChunkLoad,Called when this Chunk is loaded by the ChunkProvider,,DUPLICATE
Slot,func_779_d,*,*,onSlotChanged,Called when the stack in a Slot changes,,DUPLICATE
Chunk,func_998_e,*,*,onChunkUnload,Called when this Chunk is unloaded by the ChunkProvider,,DUPLICATE
BlockRedstoneWire,func_281_g,*,*,getMaxCurrentStrength,Returns the current strength at the specified block if it is greater than the passed value,or the passed value otherwise.  Signature: (world,DUPLICATE,y,z,strength)
BlockRedstoneWire,func_280_h,*,*,updateAndPropagateCurrentStrength,Sets the strength of the wire current (0-15) for this block based on neighboring blocks and propagates to neighboring redstone wires,,DUPLICATE
BlockMobSpawner,func_283_a_,*,*,SetBlockEntity,Returns the tileentity used by the block,,DUPLICATE
BlockRedstoneWire,func_282_i,*,*,notifyWireNeighborsOfNeighborChange,Calls World.notifyBlocksOfNeighborChange() for all neighboring blocks,but only if the given block is a redstone wire.,DUPLICATE
BlockFurnace,func_285_a,*,*,updateFurnaceBlockState,Update which block ID the furnace is using depending on whether or not it is burning,,DUPLICATE
World,func_605_c,*,*,isBoundingBoxBurning,Returns whether or not the given bounding box is on fire or not,,DUPLICATE
Render,func_4009_a,*,*,setRenderManager,Sets the RenderManager.,,DUPLICATE
